cluster,text
0.0.0.0.0.0.0.0.0.0,이미 공지된 assignment의 grading option을 바꾸어서 저장하려는데 저장이 안됩니다
0.1.0.0.0.0.0.0.0.0,도치 조교님 turnitin으로 feedback을 주셨다는데 학생이 확인이 안된다고 메일이 왔다네요 자기쪽에서 확인이 안된다는데 확인 한번만 부탁드립니당
0.1.1.0.0.0.0.0.0.0,한번 시도해보시고 안되면 다시 연락주시겠어요
0.2.0.0.0.0.0.0.0.0,컴퓨터로 블랙보드 로그인이 안되요 아이디 비밀번호 치고 로그인하면 무한로딩 되고 다음으로 넘어가지 않아요
0.2.0.0.1.0.0.0.0.0,안녕하세요 블랙보드 로그인이 안되어서 문의 드립니다 크롬이랑 엣지에서 시도하는데 아이디랑 비밀번호를 치면 로딩화면만 뜨고 넘어가질 않네요
0.2.0.1.0.0.0.0.0.0,블랙보드 로그인 레거시로 하면 로그인이 안되고 바로 처음 화면으로 돌아가집니다
0.2.0.1.0.1.0.0.0.0,pc로 블랙보드 로그인이 안됩니다
0.2.0.1.0.1.1.0.0.0,블랙보드 로그인이 되지 않습니다 pc 재부팅도 했고 크롬 삭제 후 재설치도 해봤는데 전혀 안되네요
0.2.0.1.0.2.0.0.0.0,블랙보드 로그인이 안되는데 따로 해결책이 있나요
0.2.0.1.0.2.1.0.0.0,안녕하세요 블랙보드 로그인이 안되어서 문의 드립니다
0.2.0.1.0.2.2.0.0.0,교우님 혹시 블랙보드 로그인이 안되시는 걸까요
0.2.0.1.0.2.3.0.0.0,블랙보드 로그인이 안됩니다
0.2.0.1.0.2.3.0.0.0,블랙보드 로그인이 안되시나요
0.2.0.1.0.2.3.0.0.0,블랙보드 로그인이 안됩니다
0.2.0.1.0.2.3.1.0.0,블랙보드 로그인이 안되시는게 맞으신가요
0.2.0.1.0.2.3.2.0.0,안녕하세요 좋은 아침입니당 친구가 블랙보드 로그인 화면에서 진행이 안되어서 로그인이 안되는중입니다
0.2.0.1.0.2.3.3.0.0,블랙보드 로그인창 접속이 안됩니다
0.2.0.1.0.2.3.4.0.0,블랙보드가 안되요
0.2.0.1.0.2.4.0.0.0,안녕하세요 국제하계대학 학생분이 블랙보드 로그인이 안된다고 문의주셔서 질문드립니다
0.2.0.1.0.2.5.0.0.0,블랙보드 로그인을 한 후에 아래와 같이 원이 돌고 접속이 안됩니다
0.2.0.1.0.2.6.0.0.0,블랙보드 로그인까지 되는데 왼쪽 메뉴 클릭이 안됩니다
0.2.0.1.0.2.7.0.0.0,블랙보드 로그인 자체가 안되시는 건가요
0.2.0.1.0.3.0.0.0.0,타대학 교류학생인데 블랙보드 로그인이 안됩니다
0.2.0.1.0.3.1.0.0.0,타대학 학점 교류생이신데 블랙보드 로그인이 안된다는 말씀이시죠 확인을 위해 이름과 학번을 알려주시겠어요
0.2.0.1.1.0.0.0.0.0,안녕하세요 지금 로그인이 안되시나요
0.2.0.1.1.0.0.0.0.0,안녕하세요 지금 로그인이 안되시나요
0.2.0.1.1.1.0.0.0.0,로그인이 안되네요
0.2.0.1.1.1.0.0.0.0,로그인도 안되고
0.2.0.1.1.1.0.0.0.0,로그인이 안됩니다
0.2.0.1.1.1.0.0.0.0,로그인이 안되시나요
0.2.0.1.1.1.0.0.0.0,로그인이 안됩니다
0.2.0.1.1.1.0.0.0.0,로그인이 안되서요
0.2.0.1.1.1.0.0.0.0,로그인인 안되서
0.2.0.1.1.1.0.0.0.0,로그인이 안되요
0.2.0.1.1.1.0.0.0.0,로그인이 안대여
0.2.0.1.1.1.0.1.0.0,졸업생인데 로그인이 안되네요
0.2.0.1.1.1.0.2.0.0,줌 로그인이 안된도 하십니다
0.2.0.1.1.1.1.0.0.0,왜 저만 로그인이 안되나요
0.2.0.1.1.1.2.0.0.0,줌 사이트 구글 로그인을 하니 계정이 비활성화 되었다고 하는데 어떻게 다시 활성화하나요 로그인이 안되고 있습니다
0.2.0.1.1.1.3.0.0.0,구글 sso 로그인으로 koreaackr 로 로그인해도 안되더라구요
0.2.0.1.1.1.4.0.0.0,줌 로그인 하려하면 기존에 사용하고 있던 구글계정으로 로그인이 되서 로그아웃이 안됩니다
0.2.0.1.1.1.5.0.0.0,고려대학교 이메일로 로그인해도 줌 무제한이 안되는데 어떡하나요
0.2.0.1.1.1.6.0.0.0,그런데 부여받은 학번으로는 로그인이 안됩니다
0.2.0.1.1.1.7.0.0.0,로그인을 버튼을 눌러도 계속 초기 페이지로만 가고 로그인이 안됩니다
0.2.0.1.1.1.8.0.0.0,로그인 잘 안되는 것 같습니다
0.2.0.1.1.1.9.0.0.0,혹시 로그인이 안되는거랑 관련이 있을까요
0.2.0.1.1.2.0.0.0.0,계속 안되신다면 재부팅 후 다시 로그인 부탁드려요
0.2.0.1.1.2.1.0.0.0,계속 로그인이 안되는 건가요
0.2.0.1.1.2.1.1.0.0,다시 계속 재로그인해도 안됩니다
0.2.0.1.1.3.0.0.0.0,제가 kupid 비밀번호를 교체했는데 그 이후로 구글 고려대학교 계정에 로그인이 안됩니다 해결방법이 있을까요
0.2.0.1.1.4.0.0.0.0,블랙보드 로그인이 안되고 아이디 비밀번호 입력하면 다시 로그인 페이지로 돌아옵니다
0.2.0.1.1.4.1.0.0.0,사이트 로그인이 안되고 계속 똑같은 페이지로 돌아와요
0.2.0.1.1.5.0.0.0.0,오류id cbfebadacbfe 가 자꾸 뜨고 로그인이 안됩니다
0.2.0.1.1.6.0.0.0.0,ku zoom 계정이 로그인이 안되는데 이제 연동이 안되는 걸까요
0.2.0.1.1.6.1.0.0.0,zoom 계정 활성화가 안되어요 sso 로그인 후에도
0.2.0.1.1.7.0.0.0.0,한달째 계속 로그인 되었다가 안되었다를 반복합니다
0.2.0.1.1.8.0.0.0.0,kupid는 로그인이 되는데 블랙보드가 로그인 이슈로 불편을드려죄송합니다 라면서 로그인이 안되요
0.2.0.1.1.8.1.0.0.0,kupid 아이디 비번으로 로그인이 안되는데
0.2.0.1.1.9.0.0.0.0,로그인이 안되어 있으시면 sso 로그인 동일하게 진행해주시면 됩니다
0.2.1.0.0.0.0.0.0.0,id 포털아이디koreaackr password 포털비밀번호 로 로그인하셔도 안되시는 걸까요
0.2.1.0.0.0.0.0.0.0,id 포털아이디koreaackr password 포털비밀번호 로 로그인하셔도 안되시는 걸까요
0.2.1.1.0.0.0.0.0.0,로그인이 어떻게 안되실까요
0.2.1.1.0.0.0.0.0.0,로그인이 어떻게 안되실까요
0.2.1.2.0.0.0.0.0.0,안녕하세요 로그인을 하면 로딩 장면만 나타나고 로그인이 안되는데 어떻게 해결해야하나요
0.2.1.3.0.0.0.0.0.0,네 포털비밀번호로 로그인하면 비밀번호가 옳지 않다고 로그인이 안됩니다
0.2.1.4.0.0.0.0.0.0,앱을 이용하시려는데 로그인이 안되시는 걸까요
0.3.0.0.0.0.0.0.0.0,근데 접속 기록 확인은 안되나요
0.3.1.0.0.0.0.0.0.0,학교 id 로 접속이 안되어서 그런건가요
0.3.1.0.0.1.0.0.0.0,블랙보드 아이디와 비번으로 학교에서 와이파이 접속이 안되는데 어디로 전화해야 하나요
